SUBJECT	IEDB alternative term:	definition:	CLASS_TYPE	:>> %	:>> 'has part' some %	:>> has_specified_input some %	:>> (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	:>> has_specified_input some (% and ('has part' some 'MH:>> protein complex'))	:>> has_specified_output some ('information content entity' and ('is about' some %))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'immunoglobulin binding to epitope'))))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'MHC:epitope complex binding to TCR'))))	:>> has_specified_output some %	:>> has_specified_output some ('has measurement unit label' value %)	term editor:	definition source:
detection of specific nucleic acids with complementary probes assay measuring epitope specific chemokine (C-X-C motif) ligand 13 production by T cells	CXCL13/BLC release|RNA/DNA detection	An assay of epitope specific chemokine (C-X-C motif) ligand 13 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 13 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific chemokine (C-X-C motif) ligand 16 production by T cells	CXCL16 release|RNA/DNA detection	An assay of epitope specific chemokine (C-X-C motif) ligand 16 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 16 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific chemokine (C-C motif) ligand 21 production by T cells	CCL21/SLC release|RNA/DNA detection	An assay of epitope specific chemokine (C-C motif) ligand 21 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 21 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific chemokine (C-C motif) ligand 22 production by T cells	CCL22/MDC release|RNA/DNA detection	An assay of epitope specific chemokine (C-C motif) ligand 22 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 22 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	CCL4/MIP-1b release|cytometric bead array	An assay of epitope specific chemokine (C-C motif) ligand 4 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	CCL4/MIP-1b release|RNA/DNA detection	An assay of epitope specific chemokine (C-C motif) ligand 4 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	detection of specific nucleic acid polymers with complementary probes									IEDB	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific vascular endothelial growth factor production by T cells	VEGF release|RNA/DNA detection	An assay of epitope specific vascular endothelial growth factor production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific vascular endothelial growth factor production by T cells	detection of specific nucleic acid polymers with complementary probes									IEDB	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific chemokine (C-C motif) ligand 19 production by T cells	CCL19/MIP-3b release|RNA/DNA detection	An assay of epitope specific chemokine (C-C motif) ligand 19 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 19 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	CCL1/TCA-3 release|ICS	An assay of epitope specific chemokine (C-C motif) ligand 1 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific vascular endothelial growth factor production by T cells	VEGF release|ICS	An assay of epitope specific vascular endothelial growth factor production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific vascular endothelial growth factor production by T cells	flow cytometry assay									IEDB	IEDB
ELISPOT assay measuring epitope specific vascular endothelial growth factor production by T cells	VEGF release|ELISPOT	An assay of epitope specific vascular endothelial growth factor production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific vascular endothelial growth factor production by T cells	enzyme-linked immunospot assay									IEDB	IEDB
biological activity assay measuring epitope specific interleukin-17F production by T cells	IL-17F release|biological activity	An assay of epitope specific interleukin-17 production by T cells that detects interleukin-17F production.	equivalent to	biological activity assay measuring epitope specific interleukin-17 production by T cells					interleukin-17F production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-17A production by T cells	IL-17A release|biological activity	An assay of epitope specific interleukin-17 production by T cells that detects interleukin-17A production.	equivalent to	biological activity assay measuring epitope specific interleukin-17 production by T cells					interleukin-17A production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific chemokine (C-C motif) ligand 21 production by T cells	CCL21/SLC release|biological activity	A T cell epitope specific cytokine production assay that detects chemokine (C-C motif) ligand 21 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-C motif) ligand 21 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific chemokine (C-C motif) ligand 19 production by T cells	CCL19/MIP-3b release|biological activity	A T cell epitope specific cytokine production assay that detects chemokine (C-C motif) ligand 19 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-C motif) ligand 19 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 12 production by T cells	CXCL12/SDF-1 release|biological activity	A T cell epitope specific cytokine production assay that detects chemokine (C-X-C motif) ligand 12 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-X-C motif) ligand 12 production					IEDB	IEDB
biological activity assay measuring epitope specific chemokine (C-C motif) ligand 22 production by T cells	CCL22/MDC release|biological activity	A T cell epitope specific cytokine production assay that detects chemokine (C-C motif) ligand 22 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-C motif) ligand 22 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 16 production by T cells	CXCL16 release|biological activity	A T cell epitope specific cytokine production assay that detects chemokine (C-X-C motif) ligand 16 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-X-C motif) ligand 16 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 13 production by T cells	CXCL13/BLC release|biological activity	A T cell epitope specific cytokine production assay that detects chemokine (C-X-C motif) ligand 13 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-X-C motif) ligand 13 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	CCL3/MIP-1a release|ELISPOT	An assay of epitope specific macrophage inflammatory protein-1 alpha production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
